,Practice_Code,BNF_Code,BNF_Description,Items,Quantity,ADQ_Usage
44,M84034,0205051F0AABXBX,Captopril_Liq Spec 6.25mg/5ml,1,400,10.0
45,L82056,0205051F0BIAADZ,Noyada_Oral Soln 25mg/5ml,1,200,20.0
46,P92020,0205051I0AAACAC,Enalapril Mal_Tab 10mg,2,56,112.0
47,P92021,0205051I0AAADAD,Enalapril Mal_Tab 20mg,1,28,56.0
48,M84612,0205051I0AAAJAJ,Enalapril Mal_Liq Spec 2.5mg/5ml,1,300,15.0
49,K83002,0205051I0AACBCB,Enalapril Mal_Oral Susp 1.25mg/5ml,1,150,3.75
50,H82020,0205051M0BBABAB,Coversyl_Tab 4mg,1,56,56.0
51,P92021,0205051Q0AAADAD,Quinapril HCl_Tab 40mg,3,7,56.0
52,P92020,0205051R0AAABAB,Ramipril_Cap 2.5mg,2,56,56.0
53,C81051,0205051R0AAAKAK,Ramipril_Tab 1.25mg,2,56,28.0
54,E81057,0205051U0AAAAAA,Trandolapril_Cap 500mcg,1,28,7.0
55,P92041,0205051Y0BBAAAA,Coversyl Arginine_Tab 2.5mg,1,30,15.0
56,D83033,0205052B0BBAAAA,Olmetec_Tab 10mg,1,28,18.66666
57,P92621,0205052V0AAAFAF,Valsartan_Tab 320mg,1,28,112.0
58,D83044,0205052W0BBABAB,Teveten_Tab 400mg,1,56,37.33333
59,D81008,0205053A0AAAAAA,Aliskiren_Tab 150mg,2,28,56.0
60,P92010,0206020A0AAAAAA,Amlodipine_Tab 5mg,6,84,504.0
61,M88021,0206020A0AAADAD,Amlodipine_Liq Spec 10mg/5ml,1,150,60.0
62,P92019,0206020A0BBAAAA,Istin_Tab 5mg,1,28,28.0
63,D82022,0206020A0BFABAB,Amlostin_Tab 10mg,1,28,56.0
64,P92619,0206020C0AAAXAX,Diltiazem HCl_Cap 200mg M/R,1,56,62.22222
65,C83634,0206020C0BZACAV,Uard 180XL_Cap,1,28,28.0
66,L81015,0206020F0BGABAC,Folpik XL_Tab 10mg M/R,8,7,112.0
67,E86042,0206020F0BLACAD,Neofel XL_Tab 2.5mg,1,28,14.0
68,P92607,0206020I0AAAAAA,Isradipine_Tab 2.5mg,1,56,28.0
69,P92016,0206020L0AAABAB,Lercanidipine HCl_Tab 20mg,4,56,448.0
70,P92615,0206020R0AAAPAP,Nifedipine_Tab 60mg M/R,2,28,112.0
71,M87034,0206020R0BBAAAA,Adalat_Cap 5mg,1,90,15.0
72,P92023,0206020R0BBAJAR,Adalat LA_Tab 20mg,3,28,55.99999
73,D81631,0206020R0CEAAAR,Nifopress Ret_Tab 20mg,1,28,18.66666
74,B84019,0206020R0CGAAAE,Calchan MR 10_Tab 10mg,1,168,55.99999
75,C85013,0206020R0CHAAAN,Neozipine XL_Tab 30mg,1,28,28.0
76,P92019,0206020T0BDAGAU,Half Securon SR_Tab 120mg,1,56,28.0
77,D83084,0206020T0BFACAK,Univer_Cap 240mg M/R,1,56,56.0
78,P92016,0209000A0AAAKAK,Aspirin_Tab E/C 75mg,1,112,56.0
79,M86032,0212000ABBIAAAA,G & G_Omega 3 Softgels Cap 1000mg,1,112,112.0
80,G82036,0212000B0AAAGAG,Atorvastatin_Liq Spec 40mg/5ml,1,140,56.0
81,A84043,0212000Y0AAAAAA,Simvastatin_Tab 10mg,8,28,74.66664
82,P92019,0212000Y0AAAKAK,Simvastatin_Oral Susp 20mg/5ml S/F,1,150,19.99999
83,C88072,0301011R0BJABAF,Asmasal Clickhaler_D/P Inh 95mcg (200 D),1,2,95.0
84,L82051,0301011U0BBAEAE,Serevent_Accuhaler 50mcg (60 D),1,1,30.0
85,J81010,0301011V0AAADAD,Terbut Sulf_Inh Soln 5mg/2ml Ud,1,20,5.0
86,P81005,0301011V0BBAMAL,Bricanyl_Turbohaler 500mcg (100 D),2,1,100.0
87,P81622,0301030S0AAACAC,Theophylline_Cap 125mg M/R,1,56,17.5
88,E81041,0301030S0AABJBJ,Theophylline_Oral Susp 75mg/5ml,2,450,33.75
89,M85117,0302000C0AAATAT,Beclomet Diprop_Inha B/A 100mcg (200 D),1,1,50.0
90,B85652,0302000C0BIAEBJ,Asmabec Clickhaler_D/P Inh 100mcg(200 D),1,1,50.0
91,P92021,0302000K0BDACAU,Symbicort_Turbohaler 400mcg/12mcg (60 D),2,2,120.0
92,P92028,0302000N0BBAUAU,Flixotide_Accuhaler 500mcg (60 D),2,1,300.0
93,P92021,0302000N0BCABAY,Seretide 250_Accuhaler 250mcg/50mcg(60D),7,1,210.0
94,P92016,0302000N0BFAABF,Sirdupla_Inh 125mcg/25mcg (120D),1,1,30.0
95,D81005,0302000R0AAAAAA,Mometasone Fur_Pdr For Inh 200mcg (30 D),1,1,15.0
96,M86017,0302000R0AAADAD,Mometasone Fur_Pdr For Inh 400mcg (60 D),3,1,180.0
97,Y02029,0304010A0AAAAAA,Acrivastine_Cap 8mg,1,96,31.99999
98,D82062,0304010AAAAAAAA,Mizolastine_Tab 10mg M/R,1,30,30.0
99,L81020,0304010D0AAAAAA,Loratadine_Tab 10mg,3,28,84.0
100,K84026,0304010D0BBACAA,Clarityn_Allergy Tab 10mg,1,14,14.0
101,E84002,0304010I0BFABAB,Piriteze_Allergy Syr 1mg/1ml S/F,2,70,14.0
102,K82007,0304010I0BPAAAA,Allacan_Tab 10mg,1,56,56.0
103,G83024,0304010W0AAAQAQ,Promethazine HCl_Liq Spec 25mg/5ml,1,200,40.0
104,P92016,0401020B0AAABAB,Buspirone HCl_Tab 10mg,5,84,139.99996
105,Y02627,040201030AAAAAA,Risperidone_Tab 1mg,1,56,11.2
106,P92016,040201030AAAEAE,Risperidone_Oral Soln 1mg/1ml S/F,1,100,20.0
107,P92017,040201060AAACAC,Olanzapine_Tab 10mg,5,7,35.0
108,F86028,040201060AAAKAK,Olanzapine_Oral Lyophilisate Tab 15mgS/F,2,28,84.0
109,L81075,040201060AABABA,Olanzapine_Oral Susp 2.5mg/5ml,1,280,14.0
110,B81101,0402010A0BBAAAA,Solian 200_Tab 200mg,1,30,15.0
111,C84001,0402010ABBCAEBA,Sondate XL_Tab 150mg,1,28,14.0
112,D82019,0402010ABBJACAW,Mintreleq XL_Tab 200mg,1,28,18.66666
113,P92017,0402010H0BBAAAA,Depixol_Tab 3mg,1,84,42.0
114,A84043,0402010K0AAARAR,Levomeprom Mal_Oral Susp 2.5mg/5ml,1,100,0.16666
115,L83020,0402010K0BCAAAA,Nozinan_Tab 25mg,1,56,4.66666
116,J81047,0402010Q0AAACAC,Perphenazine_Tab 2mg,3,28,5.59999
117,P81051,0402010U0AAAHAH,Sulpiride_Tab 200mg,1,56,14.0
118,D81028,0402020AABBAAAA,Risperdal Consta_Inj Pdr 25mg Vl + Dil,1,4,33.33333
119,H82031,0402020G0BBAFAH,Depixol-Conc_Inj 100mg/ml 0.5ml Amp,1,1,12.5
120,K82058,0402020L0BBAGAF,Modecate Conc_Inj 100mg/ml 1ml Amp,1,1,100.0
121,P92014,0402020Z0BBAAAA,Clopixol_Inj 200mg/ml 1ml Amp,1,4,53.33333
122,L84026,0403010N0AAADAD,Imipramine HCl_Tab 10mg,1,84,11.19999
123,P92016,0403010N0AAAEAE,Imipramine HCl_Tab 25mg,4,35,46.66666
124,P92023,0403010X0AAAFAF,Trazodone HCl_Oral Soln 50mg/5ml S/F,2,120,16.0
125,P92014,0403030E0AAAEAE,Fluoxetine HCl_Cap 60mg,1,28,84.0
126,P92016,0403030E0AAAHAH,Fluoxetine HCl_Oral Soln 20mg/5ml S/F,2,280,112.0
127,J81029,0403030P0BBADAK,Seroxat_Tab 10mg,1,28,14.0
128,C81055,0403040T0AAABAB,Nefazodone HCl_Tab 200mg,2,84,84.0
129,F85069,0403040U0AAAAAA,Reboxetine_Tab 4mg,1,84,42.0
130,E81015,0403040W0BGAAAD,Vensir XL_Cap 75mg,4,7,21.0
131,P92007,0403040W0BRABAE,Venlablue XL_Cap 150mg,1,28,42.0
132,P89007,0403040W0CBAAAE,Amphero XL_Cap 150mg,1,28,42.0
133,C84094,0403040W0CCADAT,Vencarm XL_Cap 225mg,1,28,63.0
134,P92626,0403040X0AAAJAJ,Mirtazapine_Orodisper Tab 30mg,2,28,56.0
135,M85079,0406000L0AAAWAW,Hyoscine Hydrob_Tab Chble 150mcg,2,12,6.0
136,P92003,0406000P0AAADAD,Metoclopramide HCl_Oral Soln 5mg/5ml S/F,1,300,9.99999
137,G83009,0406000S0AAAMAM,Ondansetron HCl_Orodisper Film 4mg S/F,1,10,2.5
138,P92014,0406000T0BBAAAG,Stemetil_Tab 5mg,1,15,7.5
139,E81044,0406000V0AAAAAA,Promethazine Teoclate_Tab 25mg,6,7,42.0
140,L81037,0406000V0BBAAAA,Avomine_Tab 25mg,1,56,56.0
141,C88008,0407010F0BGAAAF,Solpadol_Tab Eff 30mg/500mg,4,56,37.33333
142,P92010,0407010F0BHAAAH,Kapake_Tab 30mg/500mg,2,200,66.66666
143,P92023,0407010F0BSABAD,Zapain_Cap 30mg/500mg,2,100,33.33333
144,L81040,0407010H0AABNBN,Paracet_Suppos 1g,2,24,15.99998
145,Y04380,0407010H0AACPCP,Paracet_Liq Spec 500mg/5ml,1,500,16.66666
146,B83009,0407010H0BFAIAM,Panadol Actifast_Tab 500mg/173mg,2,126,42.0
147,P92016,040702040AAAGAG,Tramadol HCl_Cap 50mg M/R,1,112,28.0
148,L81084,040702040BDAAAA,Zamadol_Cap 50mg,1,200,50.0
149,L81015,040702040BDAJAM,Zamadol 24hr_Tab 300mg,1,30,45.0
150,B83037,040702040BLACAE,Zeridame SR_Tab 200mg,1,60,60.0
151,E81019,040702050BBACAF,Palladone-SR_Cap 2mg,1,56,9.33333
152,P92026,0407020A0AAAGAG,Fentanyl_Transdermal Patch 75mcg/hr,1,5,16.66666
153,P92020,0407020A0AAAHAH,Fentanyl_Transdermal Patch 100mcg/hr,2,5,33.33333
154,L83663,0407020A0BMADAH,Victanyl_Transdermal Patch 100mcg/hr,1,10,33.33333
155,N81016,0407020A0BQAAAU,Fencino_Transdermal Patch 12mcg/hr,2,5,33.33333
156,L82057,0407020A0BRAAAU,Opiodur_T/Derm Patch 12mcg/hr (Pfizer),2,5,33.33333
157,H81076,0407020A0BVAEAH,Yemex_Transdermal Patch 100mcg/hr,1,10,33.33333
158,P92607,0407020ADAAAFAF,Oxycodone HCl_Tab 10mg M/R,2,56,18.66666
159,P81683,0407020ADBCAEAK,OxyContin_Tab 5mg M/R,1,56,4.66666
160,B82064,0407020ADBHAAAC,Lynlor_Cap 5mg,1,84,6.99999
161,P92021,0407020ADBJABAD,Shortec_Cap 10mg,1,224,37.33333
162,N84008,0407020ADBMAEAH,Abtard_Tab 40mg M/R,1,56,37.33333
163,D82003,0407020ADBMAHAI,Abtard_Tab 80mg M/R,1,56,74.66666
164,G82791,0407020ADBNADAF,Zomestine_Tab 10mg M/R,1,56,9.33333
165,G83053,0407020B0BHAAAH,Butec_Transdermal Patch 5mcg/hr,20,4,240.0
166,A83644,0407020B0BKAAAH,Reletrans_Transdermal Patch 5mcg/hr,1,4,12.0
167,L81024,0407020B0BLAAAH,Panitaz_Transdermal Patch 5mcg/hr,2,4,24.0
168,C84001,0407020B0BNAAAE,Buplast_Transdermal Patch 35mcg/hr,1,8,24.0
169,A83061,0407020B0BRACAJ,Busiete_Transdermal Patch 20mcg/hr,2,4,24.0
170,P92642,0407020C0AAAFAF,Codeine Phos_Tab 60mg,1,112,74.66666
171,E81027,0407020K0AAAFAF,Diamorph HCl_Inj 100mg Amp,2,45,299.99999
172,P92033,0407020Q0AACNCN,Morph Sulf_Oral Soln 10mg/5ml,1,200,4.0
173,P92029,0407020Q0BBAFCV,MST Continus_Susp Gran Sach 20mg,1,60,12.0
174,P81022,0407020Q0BIABEH,MXL_Cap 60mg,2,28,33.6
175,P92033,0407020Q0BKACEH,Zomorph_Cap 60mg,1,60,36.0
176,P92010,0407020Q0BKADEB,Zomorph_Cap 100mg,4,60,240.0
177,Y01068,0407041AABBAAAA,Relpax_Tab 20mg,3,6,9.0
178,P81058,0407041M0AAAAAA,Naratriptan HCl_Tab 2.5mg,2,20,40.0
179,J81028,0407041R0BBABAB,Maxalt_Tab 10mg,1,6,6.0
180,P92021,0407041T0BBACAC,Imigran_Tab 100mg,1,6,6.0
181,C84024,0407041T0BBAFAF,Imigran 50_Tab 50mg,1,12,6.0
182,L81029,0407041T0BBAHAH,Imigran_Nsl Spy 10mg/0.1ml Ud,1,16,8.0
183,P92016,0407041Z0BBABAB,Zomig_Rapimelt Orodisper Tab 2.5mg,1,24,24.0
184,F81075,040801050AAAQAQ,Topiramate_Liq Spec 10mg/5ml,2,800,8.0
185,P92016,040801050AAAWAW,Topiramate_Cap 50mg,1,84,10.5
186,E81029,040801060AAA1A1,Clobazam_Liq Spec 5mg/5ml,3,150,22.5
187,J84007,040801060AACDCD,Clobazam_Liq Spec 500mcg/5ml,1,600,3.0
188,P92026,0408010A0AAAIAI,Levetiracetam_Tab 750mg,1,60,30.0
189,E81038,0408010A0AAAKAK,Levetiracetam_Gran Sach 250mg S/F,2,56,18.66666
190,L81132,0408010A0BBAAAA,Keppra_Tab 250mg,1,60,9.99999
191,H81021,0408010ABAAAAAA,Tiagabine_Tab 5mg,1,140,23.33333
192,P92652,0408010AEBCADAC,Rewisca_Cap 75mg,1,56,14.0
193,G82204,0408010AEBEAAAA,Alzain_Cap 25mg,1,56,4.66666
194,C84001,0408010AEBEABAB,Alzain_Cap 50mg,2,7,2.33333
195,Y00561,0408010AEBFAGAI,Axalid_Cap 225mg,1,56,42.0
196,P92642,0408010C0AAACAC,Carbamazepine_Tab 200mg,4,28,28.0
197,P92024,0408010C0AAADAD,Carbamazepine_Tab 400mg,1,56,28.0
198,G83002,0408010C0AAAUAU,Carbamazepine_Suppos 125mg,1,28,4.375
199,C88070,0408010F0AACECE,Clonazepam_Liq Spec 125mcg/5ml,1,200,1.25
200,P92019,0408010G0AAACAC,Gabapentin_Cap 400mg,2,100,66.66666
201,E81029,0408010G0AABGBG,Gabapentin_Oral Soln 50mg/ml S/F,2,150,12.5
202,K81060,0408010H0AAA1A1,Lamotrigine_Tab 200mg,2,112,224.0
203,P92024,0408010H0AAABAB,Lamotrigine_Tab 50mg,4,56,56.0
204,P92642,0408010H0AAACAC,Lamotrigine_Tab 25mg,1,70,8.75
205,P92033,0408010H0BBABAA,Lamictal_Tab 100mg,1,56,28.0
206,B84019,0408010P0AABKBK,Phenobarb Sod_Liq Spec 20mg/5ml,1,150,6.66666
207,P92021,0408010W0AAADAD,Sod Valpr_Tab E/C 500mg,1,56,23.33333
208,D83037,0408010W0BBAAAB,Epilim_Crble Tab 100mg,1,28,2.33333
209,P92016,0408010W0BBAKA1,Epilim Chrono 300_Tab 300mg C/R,1,112,28.0
210,P92602,0408010W0BIACBR,Episenta_Cap 300mg M/R,1,100,25.0
211,P92651,0408010Z0AAALAL,Phenytoin_Oral Susp 90mg/5ml,1,500,600.0
212,E81033,0409010H0BBACAC,ReQuip_Tab 2mg,4,28,37.33333
213,G84027,0409010H0BDABAL,Spiroco XL_Tab 4mg,1,56,37.33333
214,C84013,0409010H0BFABAM,Repinex XL_Tab 8mg,2,56,149.33333
215,K83007,0409010H0BIAAAK,Ipinnia XL_Tab 2mg,1,28,9.33333
216,C81006,0409010H0BJACAM,Ropilynz XL_Tab 8mg,1,84,111.99999
217,P92023,0409010K0AAALAL,Co-Beneldopa_Tab Disper 25mg/100mg S/F,2,112,9333.33333
218,P92019,0409010K0BBAJAE,Madopar_Tab Disper 50mg/12.5mg,2,28,18.66666
219,P92024,0409010N0AAACAC,Co-Careldopa_Tab 25mg/250mg,1,140,46.66666
220,C84013,0409010N0BBABAC,Sinemet_Tab 25mg/250mg,2,112,74.66666
221,H85001,0409010V0AAAAAA,Entacapone_Tab 200mg,1,120,39.99999
222,K84010,0409010W0AAAAAA,Pramipexole_Tab 700mcg,1,90,25.2
223,P92017,0409010W0AAAHAH,Pramipexole_Tab 2.1mg M/R,1,30,25.2
224,K84051,0409010W0BBADAD,Mirapexin_Tab 0.35mg,1,90,12.6
225,E81635,0409010W0BEADAG,Pipexus_Tab 1.05mg M/R,1,28,11.76
226,K84059,0409010X0BDABAD,Stanek_Tab 200mg/50mg/200mg,1,168,42.0
227,G83009,0409020C0AAAKAK,Trihexyphenidyl HCl_Liq Spec 5mg/5ml,2,100,50.0
228,G83024,0409020E0AAABAB,Benzatropine Mesil_Tab 2mg,1,100,100.0
229,P92019,0409020S0AAAHAH,Procyclidine HCl_Oral Soln 5mg/5ml S/F,1,450,30.0
230,F82008,0409030R0BCAAAD,Teglutik_Oral Susp 5mg/1ml,1,600,30.0
231,Y02025,0410030A0BFABAM,Espranor_Oral Lyophilisate 8mg,1,14,186.66666
232,P92007,0411000D0AAAJAJ,Donepezil HCl_Oral Soln 1mg/1ml S/F,1,150,19.99999
233,K84011,0411000F0BIAAAE,Galzemic XL_Cap 8mg,9,7,31.5
234,P81204,0411000F0BJACAG,Luventa XL_Cap 24mg,1,28,42.0
235,B85028,0411000G0BFABAG,Valios_Orodisper Tab 20mg S/F,2,28,56.0
236,Y02893,0501013B0AAAIAI,Amoxicillin_Oral Susp Paed 125mg/1.25ml,1,20,2.66666
237,99E998,0501013K0AAAAAA,Co-Amoxiclav_Tab 250mg/125mg,1,21,6.99999
238,E82005,0501021L0AAAGAG,Cefalexin_Tab 250mg,4,28,28.0
239,F84711,0501030P0BHAAAC,Acnamino_Cap 100mg M/R,1,56,56.0
240,P92023,0501030V0AAAFAF,Tetracycline_Tab 250mg,1,84,21.0
241,M87025,0501040N0AAADAD,Neomycin Sulf_Tab 500mg,1,60,7.5
242,P81022,0501050A0BBABAB,Zithromax_Pdr For Oral Susp 200mg/5ml,1,60,4.8
243,P92003,0501050B0AAAHAH,Clarithromycin_Oral Susp 250mg/5ml,2,140,28.0
244,F81212,0501050B0BBADAD,Klaricid 500_Tab 500mg,1,14,14.0
245,P92024,0501050H0AAACAC,Erythromycin_Ethylsuc Susp 500mg/5ml,1,300,30.0
246,M85028,0501050H0BDAIAE,Erythroped A_Tab 500mg,1,56,28.0
247,C84692,0501060D0BBABAB,Dalacin C_Cap 150mg,1,40,10.0
248,C81020,0501070M0BBAAAA,Fucidin_Paed Susp 250mg/5ml,1,300,9.99999
249,L84078,0501080D0BGAAAH,Septrin_Tab 480mg,1,56,14.0
250,C87015,0501090H0AAABAB,Ethambutol HCl_Tab 100mg,1,56,4.66666
251,G85685,0501110G0BBAAAB,Fasigyn_Tab 500mg,1,4,2.0
252,P92019,0501120L0AAAFAF,Ciprofloxacin_Tab 500mg,1,20,13.33333
253,M82038,0502010B0BBAAAA,Diflucan_Cap 50mg,1,14,3.5
254,N85032,0502020A0AAACAC,Ketoconazole_Tab 200mg,1,60,60.0
255,B82057,0502030B0AAABAB,"Nystatin_Oral Susp 100,000u/ml",2,30,15.0
256,G83037,0502050B0AAACAC,Griseofulvin_Tab 500mg,1,90,90.0
257,F85703,0502050C0AAADAD,Terbinafine HCl_Liq Spec 62.5mg/5ml,1,140,7.0
258,G82148,0503010H0AAAAAA,Tenofovir Disoproxil_Tab 245mg,1,30,30.0
259,N81046,0503021A0AAAAAA,Valaciclovir_Tab 500mg,1,60,10.0
260,P92033,0503021C0AAACAC,Aciclovir_Tab 400mg,1,112,14.93333
261,L81045,0503021C0AAAFAF,Aciclovir_Oral Susp 400mg/5ml S/F,1,200,5.33333
262,M82011,0503021E0BBAAAA,Famvir_Tab 250mg,1,21,6.99999
263,P92030,0601022B0AAASAS,Metformin HCl_Tab 500mg M/R,1,168,55.99999
264,P83605,0601022B0AAAXAX,Metformin HCl_Pdr Sach 1g S/F,1,30,19.99999
265,Y02322,0601022B0AAAZAZ,Metformin HCl_Oral Soln 850mg/5ml S/F,1,300,33.99999
266,P92007,0601022B0BJAAAS,Metabet SR_Tab 500mg (Morningside),1,56,18.66666
267,P92023,0601023A0AAABAB,Acarbose_Tab 100mg,1,270,180.0
268,P92031,0601023ADBBAAAA,Janumet_Tab 50mg/1g,1,56,28.0
269,Y02378,0601023R0AAABAB,Repaglinide_Tab 1mg,1,60,13.33333
270,Y00293,0601023R0BCABAB,Prandin_Tab 1mg,1,60,13.33333
271,P92642,0601023X0AAAAAA,Sitagliptin_Tab 100mg,2,28,56.0
272,K84082,0601023Y0BBABAB,Byetta_Inj 10mcg/0.04ml 2.4ml PfPen(60D),1,1,40.0
273,E81077,0602010V0BDABBZ,Eltroxin_Tab 100mcg,1,28,28.0
274,Y02378,0602010V0BDACBW,Eltroxin_Tab 25mcg,1,56,14.0
275,P92646,0606020W0AAADAD,Ibandronic Acid_Tab 150mg,2,1,60.0
276,P92026,0902012H0BBAGAE,Dioralyte_Pdr Sach (Blkcurrant),2,12,6.0
277,L81123,1001010C0AAAJAJ,Diclofenac Sod_Tab Disper 50mg S/F,1,21,10.5
278,D83054,1001010C0BBAHAL,Voltarol SR_Tab 75mg,1,56,42.0
279,L81039,1001010C0BPAAAR,Motifene_Cap E/C 75mg S/R,1,56,42.0
280,K84034,1001010C0BQADAL,Dicloflex SR_Tab 75mg,1,56,42.0
281,A84007,1001010C0BQAKAE,Dicloflex_Tab E/C 50mg (Almus),2,84,84.0
282,P92030,1001010J0AAAFAF,Ibuprofen_Tab 600mg,1,84,42.0
283,P92652,1001010J0AAANAN,Ibuprofen_Gran Eff Sach 600mg,1,40,20.0
284,E81033,1001010J0B4AIAA,Nurofen_Liq Cap 200mg,1,100,16.66666
285,E81052,1001010P0AABEBE,Naproxen_Oral Susp 125mg/5ml S/F,1,200,6.66666
286,D81619,1001010P0AABFBF,Naproxen_Oral Susp 250mg/5ml,1,100,6.66666
287,P92011,1001010R0AAABAB,Piroxicam_Cap 20mg,1,56,56.0
288,J81634,1001010T0AAACAC,Tiaprofenic Acid_Tab 300mg,1,56,28.0
289,C84077,1313080S0AAADAD,Sucralfate_Pdr,1,10,2.5
290,M86003,0102000A0AAAAAA,Alverine Cit_Cap 60mg,1,336,111.99999
291,L81044,0102000A0BDABAB,Audmonal_Forte Cap 120mg,2,42,56.0
292,P92633,0102000T0BCAAAA,Mintec_Cap E/C 0.2ml,1,84,27.99999
293,H81046,0102000T0BKAAAA,PepperMinn_Cap G/R 0.2ml,1,168,55.99999
294,E82058,0103010D0AAALAL,Cimetidine_Oral Soln 200mg/5ml S/F,1,1200,60.0
295,Y05612,0103010T0AABABA,Ranitidine HCl_Liq Spec 75mg/5ml,1,51,2.55
296,C82046,0103010T0BJABAC,Ranitil_Tab 300mg,1,28,28.0
297,F81636,0103010T0BWAAAP,Ranicalm_Tab 75mg,1,48,12.0
298,J81056,0103050E0BBAGAA,Nexium Control_Tab 20mg,1,56,56.0
299,P92034,0103050P0AAAJAJ,Omeprazole_Oral Soln 10mg/5ml,1,140,14.0
300,P92017,0103050P0AABNBN,Omeprazole_Oral Susp 5mg/5ml,1,70,3.5
301,G82071,0104020H0BBAEAA,Lomotil_Tab 2.5mg/25mcg (Import),1,200,25.0
302,L82042,0104020L0BBAHAA,Imodium Classic_Cap 2mg,2,28,14.0
303,G81047,0104020N0AAABAB,Kaolin & Morph_Mix,1,200,5.0
304,P92016,0105010B0BCAEAN,Pentasa_Gran Sach 1g M/R,1,60,37.5
305,P92016,0105010B0BCAGAY,Pentasa_Tab 1g M/R,4,112,280.0
306,P92026,0105020B0BBAAAA,Colifoam_Foam Aero Enem 10% 20.8g (14 D),1,2,14.0
307,E81009,0106010E0AAADAD,Ispag Husk_Gran Eff Sach 3.5g G/F S/F,2,60,60.0
